,Unnamed: 0,Canton,InitialPower,MainCategory,PlantCategory,SubCategory,TotalPower
233,233,BL,0.0,Fossil fuel,Weir plant,Photovoltaic,0.0
234,234,BL,0.0,Fossil fuel,Freestanding,Photovoltaic,0.0
235,235,BL,0.0,Fossil fuel,Waste incineration,Photovoltaic,0.0
236,236,BL,0.0,Fossil fuel,Wastewater power plant,Photovoltaic,0.0
237,237,BL,0.0,Fossil fuel,Storage power plant,Photovoltaic,0.0
238,238,BL,0.0,Fossil fuel,Pumped storage power plant,Photovoltaic,0.0
239,239,BL,0.0,Fossil fuel,Integrated,Wind Energy,0.0
240,240,BL,0.0,Fossil fuel,Attached,Wind Energy,0.0
241,241,BL,0.0,Fossil fuel,,Wind Energy,0.0
242,242,BL,0.0,Fossil fuel,Continuous power plant,Wind Energy,0.0
243,243,BL,0.0,Fossil fuel,Drinking water power plant,Wind Energy,0.0
244,244,BL,0.0,Fossil fuel,Wastewater treatment,Wind Energy,0.0
245,245,BL,0.0,Fossil fuel,Diversion power plant,Wind Energy,0.0
246,246,BL,0.0,Fossil fuel,Biomass usage,Wind Energy,0.0
247,247,BL,0.0,Fossil fuel,Weir plant,Wind Energy,0.0
248,248,BL,0.0,Fossil fuel,Freestanding,Wind Energy,0.0
249,249,BL,0.0,Fossil fuel,Waste incineration,Wind Energy,0.0
250,250,BL,0.0,Fossil fuel,Wastewater power plant,Wind Energy,0.0
251,251,BL,0.0,Fossil fuel,Storage power plant,Wind Energy,0.0
252,252,BL,0.0,Fossil fuel,Pumped storage power plant,Wind Energy,0.0
253,253,BL,0.0,Fossil fuel,Integrated,Hydroelectric power,0.0
254,254,BL,0.0,Fossil fuel,Attached,Hydroelectric power,0.0
255,255,BL,0.0,Fossil fuel,,Hydroelectric power,0.0
256,256,BL,0.0,Fossil fuel,Continuous power plant,Hydroelectric power,0.0
257,257,BL,0.0,Fossil fuel,Drinking water power plant,Hydroelectric power,0.0
258,258,BL,0.0,Fossil fuel,Wastewater treatment,Hydroelectric power,0.0
259,259,BL,0.0,Fossil fuel,Diversion power plant,Hydroelectric power,0.0
260,260,BL,0.0,Fossil fuel,Biomass usage,Hydroelectric power,0.0
261,261,BL,0.0,Fossil fuel,Weir plant,Hydroelectric power,0.0
262,262,BL,0.0,Fossil fuel,Freestanding,Hydroelectric power,0.0
263,263,BL,0.0,Fossil fuel,Waste incineration,Hydroelectric power,0.0
264,264,BL,0.0,Fossil fuel,Wastewater power plant,Hydroelectric power,0.0
265,265,BL,0.0,Fossil fuel,Storage power plant,Hydroelectric power,0.0
266,266,BL,0.0,Fossil fuel,Pumped storage power plant,Hydroelectric power,0.0
267,267,BL,0.0,Fossil fuel,Integrated,Biomass,0.0
268,268,BL,0.0,Fossil fuel,Attached,Biomass,0.0
269,269,BL,0.0,Fossil fuel,,Biomass,0.0
270,270,BL,0.0,Fossil fuel,Continuous power plant,Biomass,0.0
271,271,BL,0.0,Fossil fuel,Drinking water power plant,Biomass,0.0
272,272,BL,0.0,Fossil fuel,Wastewater treatment,Biomass,0.0
273,273,BL,0.0,Fossil fuel,Diversion power plant,Biomass,0.0
274,274,BL,0.0,Fossil fuel,Biomass usage,Biomass,0.0
275,275,BL,0.0,Fossil fuel,Weir plant,Biomass,0.0
276,276,BL,0.0,Fossil fuel,Freestanding,Biomass,0.0
277,277,BL,0.0,Fossil fuel,Waste incineration,Biomass,0.0
278,278,BL,0.0,Fossil fuel,Wastewater power plant,Biomass,0.0
279,279,BL,0.0,Fossil fuel,Storage power plant,Biomass,0.0
280,280,BL,0.0,Fossil fuel,Pumped storage power plant,Biomass,0.0
281,281,BL,0.0,Fossil fuel,Integrated,Waste,0.0
282,282,BL,0.0,Fossil fuel,Attached,Waste,0.0
283,283,BL,0.0,Fossil fuel,,Waste,0.0
284,284,BL,0.0,Fossil fuel,Continuous power plant,Waste,0.0
285,285,BL,0.0,Fossil fuel,Drinking water power plant,Waste,0.0
286,286,BL,0.0,Fossil fuel,Wastewater treatment,Waste,0.0
287,287,BL,0.0,Fossil fuel,Diversion power plant,Waste,0.0
288,288,BL,0.0,Fossil fuel,Biomass usage,Waste,0.0
289,289,BL,0.0,Fossil fuel,Weir plant,Waste,0.0
290,290,BL,0.0,Fossil fuel,Freestanding,Waste,0.0
291,291,BL,0.0,Fossil fuel,Waste incineration,Waste,0.0
292,292,BL,0.0,Fossil fuel,Wastewater power plant,Waste,0.0
293,293,BL,0.0,Fossil fuel,Storage power plant,Waste,0.0
294,294,BL,0.0,Fossil fuel,Pumped storage power plant,Waste,0.0
295,295,BL,0.0,Fossil fuel,Integrated,Natural gas,0.0
296,296,BL,0.0,Fossil fuel,Attached,Natural gas,0.0
297,297,BL,0.0,Fossil fuel,,Natural gas,0.0
298,298,BL,0.0,Fossil fuel,Continuous power plant,Natural gas,0.0
299,299,BL,0.0,Fossil fuel,Drinking water power plant,Natural gas,0.0
300,300,BL,0.0,Fossil fuel,Wastewater treatment,Natural gas,0.0
301,301,BL,0.0,Fossil fuel,Diversion power plant,Natural gas,0.0
302,302,BL,0.0,Fossil fuel,Biomass usage,Natural gas,0.0
303,303,BL,0.0,Fossil fuel,Weir plant,Natural gas,0.0
304,304,BL,0.0,Fossil fuel,Freestanding,Natural gas,0.0
305,305,BL,0.0,Fossil fuel,Waste incineration,Natural gas,0.0
306,306,BL,0.0,Fossil fuel,Wastewater power plant,Natural gas,0.0
307,307,BL,0.0,Fossil fuel,Storage power plant,Natural gas,0.0
308,308,BL,0.0,Fossil fuel,Pumped storage power plant,Natural gas,0.0
309,309,BL,0.0,Fossil fuel,Integrated,Nuclear energy,0.0
310,310,BL,0.0,Fossil fuel,Attached,Nuclear energy,0.0
311,311,BL,0.0,Fossil fuel,,Nuclear energy,0.0
312,312,BL,0.0,Fossil fuel,Continuous power plant,Nuclear energy,0.0
313,313,BL,0.0,Fossil fuel,Drinking water power plant,Nuclear energy,0.0
314,314,BL,0.0,Fossil fuel,Wastewater treatment,Nuclear energy,0.0
315,315,BL,0.0,Fossil fuel,Diversion power plant,Nuclear energy,0.0
316,316,BL,0.0,Fossil fuel,Biomass usage,Nuclear energy,0.0
317,317,BL,0.0,Fossil fuel,Weir plant,Nuclear energy,0.0
318,318,BL,0.0,Fossil fuel,Freestanding,Nuclear energy,0.0
319,319,BL,0.0,Fossil fuel,Waste incineration,Nuclear energy,0.0
320,320,BL,0.0,Fossil fuel,Wastewater power plant,Nuclear energy,0.0
321,321,BL,0.0,Fossil fuel,Storage power plant,Nuclear energy,0.0
322,322,BL,0.0,Fossil fuel,Pumped storage power plant,Nuclear energy,0.0
323,323,BL,0.0,Fossil fuel,Integrated,Crude oil,0.0
324,324,BL,0.0,Fossil fuel,Attached,Crude oil,0.0
325,325,BL,0.0,Fossil fuel,,Crude oil,0.0
326,326,BL,0.0,Fossil fuel,Continuous power plant,Crude oil,0.0
327,327,BL,0.0,Fossil fuel,Drinking water power plant,Crude oil,0.0
328,328,BL,0.0,Fossil fuel,Wastewater treatment,Crude oil,0.0
329,329,BL,0.0,Fossil fuel,Diversion power plant,Crude oil,0.0
330,330,BL,0.0,Fossil fuel,Biomass usage,Crude oil,0.0
331,331,BL,0.0,Fossil fuel,Weir plant,Crude oil,0.0
332,332,BL,0.0,Fossil fuel,Freestanding,Crude oil,0.0
333,333,BL,0.0,Fossil fuel,Waste incineration,Crude oil,0.0
334,334,BL,0.0,Fossil fuel,Wastewater power plant,Crude oil,0.0
335,335,BL,0.0,Fossil fuel,Storage power plant,Crude oil,0.0
336,336,BL,0.0,Fossil fuel,Pumped storage power plant,Crude oil,0.0
337,337,BL,0.0,Nuclear energy,Integrated,Photovoltaic,0.0
338,338,BL,0.0,Nuclear energy,Attached,Photovoltaic,0.0
339,339,BL,0.0,Nuclear energy,,Photovoltaic,0.0
340,340,BL,0.0,Nuclear energy,Continuous power plant,Photovoltaic,0.0
341,341,BL,0.0,Nuclear energy,Drinking water power plant,Photovoltaic,0.0
342,342,BL,0.0,Nuclear energy,Wastewater treatment,Photovoltaic,0.0
343,343,BL,0.0,Nuclear energy,Diversion power plant,Photovoltaic,0.0
344,344,BL,0.0,Nuclear energy,Biomass usage,Photovoltaic,0.0
345,345,BL,0.0,Nuclear energy,Weir plant,Photovoltaic,0.0
346,346,BL,0.0,Nuclear energy,Freestanding,Photovoltaic,0.0
347,347,BL,0.0,Nuclear energy,Waste incineration,Photovoltaic,0.0
348,348,BL,0.0,Nuclear energy,Wastewater power plant,Photovoltaic,0.0
349,349,BL,0.0,Nuclear energy,Storage power plant,Photovoltaic,0.0
350,350,BL,0.0,Nuclear energy,Pumped storage power plant,Photovoltaic,0.0
351,351,BL,0.0,Nuclear energy,Integrated,Wind Energy,0.0
352,352,BL,0.0,Nuclear energy,Attached,Wind Energy,0.0
353,353,BL,0.0,Nuclear energy,,Wind Energy,0.0
354,354,BL,0.0,Nuclear energy,Continuous power plant,Wind Energy,0.0
355,355,BL,0.0,Nuclear energy,Drinking water power plant,Wind Energy,0.0
356,356,BL,0.0,Nuclear energy,Wastewater treatment,Wind Energy,0.0
357,357,BL,0.0,Nuclear energy,Diversion power plant,Wind Energy,0.0
358,358,BL,0.0,Nuclear energy,Biomass usage,Wind Energy,0.0
359,359,BL,0.0,Nuclear energy,Weir plant,Wind Energy,0.0
360,360,BL,0.0,Nuclear energy,Freestanding,Wind Energy,0.0
361,361,BL,0.0,Nuclear energy,Waste incineration,Wind Energy,0.0
362,362,BL,0.0,Nuclear energy,Wastewater power plant,Wind Energy,0.0
363,363,BL,0.0,Nuclear energy,Storage power plant,Wind Energy,0.0
364,364,BL,0.0,Nuclear energy,Pumped storage power plant,Wind Energy,0.0
365,365,BL,0.0,Nuclear energy,Integrated,Hydroelectric power,0.0
366,366,BL,0.0,Nuclear energy,Attached,Hydroelectric power,0.0
367,367,BL,0.0,Nuclear energy,,Hydroelectric power,0.0
368,368,BL,0.0,Nuclear energy,Continuous power plant,Hydroelectric power,0.0
369,369,BL,0.0,Nuclear energy,Drinking water power plant,Hydroelectric power,0.0
370,370,BL,0.0,Nuclear energy,Wastewater treatment,Hydroelectric power,0.0
371,371,BL,0.0,Nuclear energy,Diversion power plant,Hydroelectric power,0.0
372,372,BL,0.0,Nuclear energy,Biomass usage,Hydroelectric power,0.0
373,373,BL,0.0,Nuclear energy,Weir plant,Hydroelectric power,0.0
374,374,BL,0.0,Nuclear energy,Freestanding,Hydroelectric power,0.0
375,375,BL,0.0,Nuclear energy,Waste incineration,Hydroelectric power,0.0
